,Unnamed: 0,Title,City,MinSalary,MaxSalary,company,Date,Expirience,Employment,Work_schedule,Descriptions,Duties,Requirements,Terms,Key_skills,Days
23,23,Sales manager,Новосибирск,60000.0,120000.0,ОпенСервис,2021-01-15T11:42:58+0300,От 1 года до 3 лет,Полная занятость,Полный день, Привет! ,,,"   фиксированный оклад (с возможностью увеличения с ростом грейда) + % от маржи + дополнительные бонусы от продаж (наши новые сотрудники находят клиентов и продают даже в первый месяц работы);   график работы — с 9.00 до 18:00, 5/2 (сб, вс — выходные);   территориально - ул. Советская, дом 64, офис 613а;   у нас действительно есть возможности для роста: мы планируем развивать новые территории и регионы, все руководители выросли внутри компании;   мы много времени уделяем обучению (самому продукту и технике продаж);   возможности для развития и самореализации: внутреннее обучение, ""школа боссов"", частичная компенсация внешнего обучения, корпоративная библиотека;   возможность посещать мероприятия с ресторанным уклоном, тренировать навыки спикера, знакомиться с ведущими рестораторами страны;   если есть хороший уровень английского языка, можно попробовать себя в работе с зарубежными клиентами (мы работаем с Европой, США, ОАЭ...)   работа в молодой и дружной команде, яркие корпоративные мероприятия.   ", Активные продажи; B2B Продажи; IIKO; R-Keeper;,0
24,24,HR manager,Новосибирск,40000.0,150000.0,WIT Recruitment,2021-01-14T15:23:34+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа, В нашу дружную команду кадрового агентства ищем IT рекрутера ,,,, Поиск информации в интернет; IT Recruitment;,0
25,25,Project manager,Новосибирск,80000.0,126000.0,Форвард,2021-01-15T11:08:17+0300,От 1 года до 3 лет,Полная занятость,Полный день," Группа компаний Форвард ищет в свою команду сотрудника, который хочет проявить свои управленческие навыки в успешном бизнесе со своим производством. Рассматриваем кандидатов с успешным опытом работы по найму и умением выстраивать рабочие процессы. ",,,,,0
26,26,Project manager,Новосибирск,66666.0,126000.0,Финансовые Информационные Системы,2021-01-15T11:39:18+0300,От 1 года до 3 лет,Полная занятость,Полный день," Мы занимаемся разработкой и внедрением систем, автоматизирующих бизнес-процессы заказчика на базе конструктора Case Platform. ",,,, Project management; Управление проектами; Управление продуктом; Agile Project Management; Scrum;,0
27,27,Project manager,Новосибирск,66666.0,126000.0,Электронный город (ООО Новотелеком),2021-01-14T15:38:52+0300,От 3 до 6 лет,Полная занятость,Полный день," Мы работаем на новосибирском рынке связи с 2003 года и являемся самым крупным оператором связи в Новосибирске с охватом 93% территории города и более 400 тысячами абонентов, которым доступен широкий спектр услуг: от доступа в интернет и IP-телевидения до умного домофона. ",,,,,0
28,28,IT Аналитик,Новосибирск,40000.0,40000.0,ИТС-Сибирь,2021-01-14T06:41:38+0300,От 3 до 6 лет,Полная занятость,Полный день, ,"     Декомпозиция требований заказчика до уровня описания функциональных требований для постановки задач в разработку, контроль выполнения и качества работ, организация и координация членов команды.       Проведение мониторинга, выявление потребности и осуществление сбора требований для составления технического задания.       Самостоятельная подготовка блоков технических заданий с нуля, аналитической документации, презентационных материалов.       Оценка трудозатрат по реализации функции или модуля.       Анализ, моделирование и описание автоматизируемых процессов, участие в проектировании макетов интерфейсов.       Участие в тестировании прототипа разрабатываемого программного обеспечения.       Проведение приемо-сдаточных испытаний совместно с другими специалистами организации     ","     Опыт работы в ИТ-сфере (в качестве аналитика/разработчика/), хороший технический бэкграунд;       Знание и понимание принципов построения информационных систем, архитектуры web и мобильных приложений;       Технологии разметки веб-страниц (HTML, CSS): знание синтаксиса, диагностика ошибок.       Технологии интеграции (веб-сервисы, RESTAPI) (имеет понимание подхода интеграции).       Прототипирование (может создавать нефункциональные прототипы).   Опыт функционального и ручного тестирования системы.     ","     Официальное трудоустройство в соответствии с ТК РФ с первого дня;       Возможность карьерного роста;       График работы: пятидневная рабочая неделя;       Расположение офиса: пос. Восход, Новосибирский район.         ", Разработка ПО; Тестирование; Аналитика; Работа в команде; Информационные технологии; Разработка технических заданий;,0
29,29,IT Директор,Новосибирск,150000.0,,Lime Credit Group,2021-01-15T07:27:31+0300,От 3 до 6 лет,Полная занятость,Полный день,  Lime Credit Group  – международная IT-компания из Сибири. Мы развиваем ряд сервисов в области автоматизации сегмента онлайн-кредитования. ,"   Руководство IT-департаментом (проектные команды разработки, более 100 человек);   Анализ эффективности существующих процессов разработки, выбранных проектных методологий;   Подготовка и реализация планов по оптимизации процессов и увеличению их эффективности;   Формирование кадровой стратегии департамента, принятие и согласование кадровых решений;   Выстраивание продуктивных взаимоотношений между IT и внутренними заказчиками (бизнес);   Определение и закрепление зон ответственности между смежными подразделениями;   Ведение административной функции: бюджетирование, регламентирование и тд.;   Непрерывное развитие IT-департамента: внедрение best practise менеджмента и проектной разработки;   Управление IT-инфраструктурой.   ","   Успешный опыт в аналогичной должности от 2-х лет;   Глубокое понимание процессов продуктовой разработки;   Ответственность;   Инициативность и умение доводить идеи до конца;   Хорошо развитые коммуникативные навыки, умение договариваться с учетом интересов бизнеса;   Навыки управления командой (персоналом). Индивидуальный подход к подчиненным, интерес к людям;   Гибкость и адаптивность.   ",, Реинжиниринг бизнес-процессов; CRM; Бизнес-анализ; Управленческие навыки; Командообразование; Лидерство; Управление эффективностью; Управление процессами;,0
31,31,HR manager,Новосибирск,40000.0,105000.0,Maxima,2021-01-12T12:37:42+0300,От 1 года до 3 лет,Полная занятость,Полный день,"  Меня зовут Мария, я руководитель HR-отдела IT-компании MAXIMA. Моя команда занимается поиском и привлечением талантов, развитием и адаптацией сотрудников. Мы не ограничиваемся только hr-процессами, поэтому всегда готовы примерить на себя новую роль, поэкспериментировать ради успешного развития бизнеса.   "," - Поиск IT специалистов с использованием различных источников в IT сфере; - Адаптация, развитие и удержание; - Участие в продвижении HR бренда, внешних мероприятиях и внутренних проектах; - Участие во внутренних HR проектах ",  Обязанности  ," - Оформление по ТК РФ; - Стабильную и достойную заработную плату, соответствующую твоим скиллам; - График работы 5/2 с гибким началом рабочего дня с 08:00 до 10:00; - Приятный релокационный пакет для специалистов из других городов ",,0
32,32,IT Специалист,Новосибирск,45000.0,107500.0,Кадровое агентство ИМПЕРИЯ КАДРОВ,2021-01-13T14:29:05+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа, ,"   Тестирование результатов кастомизации платформы: чек-лист, ключевые бизнес процессы и операции;   Тестирование правильности алгоритма расчета компенсационных планов на сгенерированных данных вручную;   Тестирование данных пользовательского интерфейса и юзабилити;   Тестирование работоспособности новых фич платформы;   ",   QA и ручное тестирование;   Владение основными инструментами тестирования;   Понимание принципов работы современных веб-приложений;   Понимание принципов работы облачных систем;   Понимание основных принципов работы программного обеспечивания;   Умения правильных локализаций багов;   Опыт работы в системах таск-менеджмента;   ,"   5/2 , в офисе г Новосибирск, м. Студенческая или удаленно   Заработная плата от 45 000   оформление по ТК РФ   ", SQL; Тестирование пользовательского интерфейса; MS Visual Studio; Cистемы управления базами данных;,0
33,33,Sales manager,Новосибирск,40000.0,73333.0,Течсейн,2021-01-15T13:05:49+0300,От 1 года до 3 лет,Полная занятость,Полный день," Компания ТЕЧСЕЙН работает в сфере телекоммуникаций с 2016 года и специализируется на реализации комплексных, высокотехнологичных решений для операторов связи. В частности: реализует задачи в области АТС, сетевого и серверного оборудования, систем хранения данных. ",,"   Грамотная устная и письменная речь;     Высшее образование;       Опыт активных B2B/B2G продаж от 1 года (желательно);       Активность, желание развиваться, уверенность в себе, самостоятельность, дисциплинированность и позитивный настрой;       Преимущество соискателям со знанием IT-оборудования.     ",, B2B Продажи; Холодные продажи; Активные продажи; Корпоративные продажи;,0
